date,order_id,user_id,dma_name,state,zip_code,product_category,size,quantity,unit_price,unit_cost,discount_per_unit,line_revenue,promo_flag
2023-01-01,ORD_20230101_1052,u_877,"Augusta, GA",GA,309159,Girls Tops,XS (4-5),1,23,8.82,0,23,0
2023-01-01,ORD_20230101_1942,u_1053,"Savannah, GA",GA,313169,Girls Bottoms,M (8-10),3,26,10.7,20,18,1
2023-01-01,ORD_20230101_2539,u_1336,"Macon, GA",GA,310729,Girls Bottoms,L (12-14),1,25,8.95,0,25,0
2023-01-01,ORD_20230101_2767,u_410,"Atlanta, GA",GA,301404,Girls Bottoms,L (12-14),1,27,11.5,20,7,1
2023-01-01,ORD_20230101_2767,u_410,"Atlanta, GA",GA,301304,Girls Dresses,L (12-14),2,33,12.6,15,36,1
2023-01-01,ORD_20230101_2834,u_575,"Atlanta, GA",GA,301680,Girls Dresses,S (6-7),1,35,15.37,15,20,1
2023-01-01,ORD_20230101_2834,u_575,"Atlanta, GA",GA,301986,Girls Tops,M (8-10),1,23,12.21,20,3,1
2023-01-01,ORD_20230101_3047,u_1146,"Macon, GA",GA,310038,Girls Bottoms,L (12-14),1,29,14.91,10,19,1
2023-01-01,ORD_20230101_4168,u_981,"Atlanta, GA",GA,301018,Girls Dresses,M (8-10),2,39,17.85,0,78,0
2023-01-01,ORD_20230101_5146,u_610,"Atlanta, GA",GA,300719,Girls Tops,XS (4-5),1,26,10.36,0,26,0
2023-01-01,ORD_20230101_5157,u_1011,"Augusta, GA",GA,309723,Girls Dresses,M (8-10),2,39,16.66,0,78,0
2023-01-01,ORD_20230101_5157,u_1011,"Augusta, GA",GA,309526,Girls Tops,L (12-14),1,27,10.33,0,27,0
2023-01-01,ORD_20230101_5922,u_1330,"Augusta, GA",GA,309587,Girls Dresses,XS (4-5),2,39,17.86,0,78,0
2023-01-01,ORD_20230101_5927,u_571,"Savannah, GA",GA,314146,Girls Dresses,M (8-10),2,34,12.49,20,28,1
2023-01-01,ORD_20230101_6538,u_362,"Augusta, GA",GA,309887,Girls Bottoms,XS (4-5),1,26,10.92,0,26,0
2023-01-01,ORD_20230101_7395,u_833,"Augusta, GA",GA,309998,Girls Dresses,L (12-14),1,34,18.65,0,34,0
2023-01-01,ORD_20230101_7592,u_415,"Augusta, GA",GA,308606,Girls Tops,L (12-14),1,25,11.83,15,10,1
2023-01-01,ORD_20230101_8277,u_1427,"Augusta, GA",GA,309450,Girls Bottoms,M (8-10),1,31,16.22,15,16,1
2023-01-01,ORD_20230101_8580,u_229,"Atlanta, GA",GA,301680,Girls Bottoms,L (12-14),1,27,11.93,0,27,0
2023-01-01,ORD_20230101_8809,u_864,"Atlanta, GA",GA,302267,Girls Tops,M (8-10),1,27,11.21,0,27,0
2023-01-01,ORD_20230101_8878,u_293,"Savannah, GA",GA,314659,Girls Tops,L (12-14),2,19,10.36,0,38,0
2023-01-01,ORD_20230101_9096,u_1408,"Savannah, GA",GA,314482,Girls Dresses,L (12-14),3,32,11.27,0,96,0
2023-01-01,ORD_20230101_9305,u_852,"Atlanta, GA",GA,300866,Girls Tops,S (6-7),2,22,9.42,15,14,1
2023-01-01,ORD_20230101_9691,u_1228,"Augusta, GA",GA,309600,Girls Tops,XS (4-5),1,20,10.01,15,5,1
2023-01-02,ORD_20230102_1094,u_1065,"Macon, GA",GA,310202,Girls Dresses,L (12-14),2,34,13.52,0,68,0
2023-01-02,ORD_20230102_3183,u_1362,"Savannah, GA",GA,313519,Girls Bottoms,XS (4-5),1,29,13.27,0,29,0
2023-01-02,ORD_20230102_3183,u_1362,"Savannah, GA",GA,314269,Girls Dresses,L (12-14),1,33,13.78,0,33,0
2023-01-02,ORD_20230102_3183,u_1362,"Savannah, GA",GA,314453,Girls Bottoms,XS (4-5),2,30,15.76,10,40,1
2023-01-02,ORD_20230102_4086,u_542,"Columbus, GA",GA,319724,Girls Bottoms,L (12-14),1,29,14.88,10,19,1
2023-01-02,ORD_20230102_4413,u_1030,"Macon, GA",GA,310683,Girls Tops,L (12-14),3,20,9.76,0,60,0
2023-01-02,ORD_20230102_4959,u_962,"Augusta, GA",GA,309088,Girls Tops,S (6-7),2,25,9.16,0,50,0
2023-01-02,ORD_20230102_5957,u_1166,"Savannah, GA",GA,314875,Girls Tops,M (8-10),1,19,8.37,0,19,0
2023-01-02,ORD_20230102_6072,u_167,"Macon, GA",GA,310616,Girls Tops,L (12-14),1,22,9.96,15,7,1
2023-01-02,ORD_20230102_6076,u_60,"Macon, GA",GA,310189,Girls Tops,S (6-7),1,26,11.08,20,6,1
2023-01-02,ORD_20230102_6076,u_60,"Macon, GA",GA,310791,Girls Dresses,M (8-10),3,34,14.6,0,102,0
2023-01-02,ORD_20230102_6464,u_1340,"Atlanta, GA",GA,301617,Girls Tops,L (12-14),1,25,11.24,0,25,0
2023-01-02,ORD_20230102_6756,u_1216,"Savannah, GA",GA,314844,Girls Bottoms,S (6-7),1,27,9.83,0,27,0
2023-01-02,ORD_20230102_6756,u_1216,"Savannah, GA",GA,313094,Girls Tops,M (8-10),1,20,7.22,10,10,1
