week_start_date,airport_code,airport_name,spend,impressions,placements,format,audience_segment
2023-01-02,ATL,Hartsfield–Jackson Atlanta International Airport,12606.51,677039,5,Baggage Claim Display,Traveling Moms
2023-01-02,LAX,Los Angeles International Airport,18374.93,1176978,9,Concourse Wrap,General Travelers
2023-01-02,ORD,Chicago O'Hare International Airport,16239.29,780303,6,Concourse Wrap,General Travelers
2023-01-02,DFW,Dallas/Fort Worth International Airport,10408.65,514160,8,Baggage Claim Display,Frequent Flyers
2023-01-02,DEN,Denver International Airport,16044.2,910487,10,Baggage Claim Display,Traveling Moms
2023-01-02,JFK,John F. Kennedy International Airport,18132.57,815293,5,Concourse Wrap,Frequent Flyers
2023-01-02,SFO,San Francisco International Airport,14779.29,637627,4,Jet Bridge,Family Leisure Travelers
2023-01-02,SEA,Seattle–Tacoma International Airport,13175.56,534001,11,Baggage Claim Display,General Travelers
2023-01-02,LAS,Harry Reid International Airport,15437.12,893089,7,Jet Bridge,General Travelers
2023-01-02,MCO,Orlando International Airport,15565.77,930412,5,Baggage Claim Display,Traveling Moms
2023-01-02,CLT,Charlotte Douglas International Airport,17809.74,1030184,7,Jet Bridge,Frequent Flyers
2023-01-02,MIA,Miami International Airport,13454.61,739700,4,Digital Board,Frequent Flyers
2023-01-02,PHX,Phoenix Sky Harbor International Airport,14742.94,627044,5,Concourse Wrap,Frequent Flyers
2023-01-02,IAH,George Bush Intercontinental Airport,17869.2,854046,8,Baggage Claim Display,Family Leisure Travelers
2023-01-02,BOS,Logan International Airport,13933.63,697914,8,Jet Bridge,General Travelers
2023-01-02,MSP,Minneapolis–Saint Paul International Airport,17268.03,755986,5,Digital Board,General Travelers
2023-01-02,DTW,Detroit Metropolitan Airport,20976.36,1040667,6,Jet Bridge,Frequent Flyers
2023-01-02,PHL,Philadelphia International Airport,14510.79,641791,6,Baggage Claim Display,General Travelers
2023-01-02,LGA,LaGuardia Airport,18333.95,936847,8,Digital Board,Frequent Flyers
2023-01-02,BWI,Baltimore/Washington International Airport,13716.78,832911,3,Digital Board,Traveling Moms
2023-01-09,ATL,Hartsfield–Jackson Atlanta International Airport,17028.67,694292,3,Baggage Claim Display,General Travelers
2023-01-09,LAX,Los Angeles International Airport,13482.87,824607,5,Concourse Wrap,Traveling Moms
2023-01-09,ORD,Chicago O'Hare International Airport,19300.85,905413,10,Digital Board,Traveling Moms
2023-01-09,DFW,Dallas/Fort Worth International Airport,15121.65,607529,6,Baggage Claim Display,General Travelers
2023-01-09,DEN,Denver International Airport,14365.33,821753,10,Digital Board,Family Leisure Travelers
2023-01-09,JFK,John F. Kennedy International Airport,19733.47,904579,7,Jet Bridge,Family Leisure Travelers
