date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2024-06-28,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,332.75,15896,607,4988,3810,2924,2143,1822,Traffic,35-44,Teen Daughters
2024-04-02,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,310.15,14267,454,4302,3069,1882,1157,732,Traffic,18-24,Teen Daughters
2023-06-27,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,159.39,6801,79,3535,2694,2150,1664,1005,Video Views,35-44,Teen Daughters
2024-04-17,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,126.21,8673,205,4930,3220,1998,1394,952,Conversions,13-17,Teen Daughters
2024-05-12,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,380.68,16105,370,8268,5191,3674,2990,2670,Video Views,18-24,Moms & Daughters
2023-05-24,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,458.07,24295,534,10601,8608,7286,5630,5090,Traffic,25-34,Teen Daughters
2023-03-31,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,130.83,7837,165,3274,2786,2120,1645,1157,Traffic,25-34,Suburban Moms
2024-06-13,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,444.78,22111,874,10186,6300,4471,3412,3034,Conversions,13-17,Suburban Moms
2024-06-02,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,237.7,9814,388,4566,2809,2254,1938,1337,Traffic,35-44,Teen Daughters
2023-07-08,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,85.38,5148,138,1764,1335,894,708,590,Traffic,35-44,Teen Daughters
2023-03-05,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,258.57,16724,467,7147,6361,4660,3451,3269,Traffic,18-24,Suburban Moms
2023-07-10,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,279.41,18055,567,8625,6634,5261,3169,2398,Conversions,25-34,Moms & Daughters
2023-04-11,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,120.59,5853,231,2454,1964,1368,1005,829,Video Views,35-44,Suburban Moms
2023-08-21,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,270.02,18564,326,10602,9374,6687,4677,3269,Conversions,35-44,Moms & Daughters
2024-06-28,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,258.57,17205,303,7282,5229,3501,2832,2242,Traffic,25-34,Teen Daughters
2023-08-04,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,96.8,5280,196,3157,2748,1702,1101,715,Conversions,25-34,Suburban Moms
2023-03-16,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,336.46,18646,717,6697,5303,3321,2663,2273,Traffic,25-34,Teen Daughters
2023-11-10,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,143.92,7007,160,2152,1584,1012,771,628,Conversions,18-24,Moms & Daughters
2023-11-27,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,576.37,23679,364,10736,7924,5680,4319,2991,Traffic,18-24,Suburban Moms
2023-09-26,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,138.09,7203,168,3139,1970,1278,933,683,Conversions,18-24,Moms & Daughters
2023-08-11,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,375.87,23663,607,13184,11004,8814,5926,4745,Video Views,35-44,Moms & Daughters
2023-11-24,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,304.48,19182,406,8106,6209,5574,4588,4098,Video Views,18-24,Teen Daughters
2024-06-14,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,328.32,20106,236,7340,4608,2787,1899,1524,Video Views,13-17,Suburban Moms
2023-11-29,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,794.02,40024,1397,15059,9525,6982,6000,4282,Video Views,25-34,Moms & Daughters
2023-01-28,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,566.81,29893,758,15788,12060,9305,7127,5501,Video Views,18-24,Teen Daughters
2023-11-21,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,555.74,37522,1084,20576,17593,13333,10864,8631,Traffic,13-17,Moms & Daughters
2023-06-12,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,103.48,5852,62,2232,1990,1407,1257,806,Traffic,25-34,Teen Daughters
2023-09-21,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,261.51,10805,230,3432,2410,1651,1447,1282,Traffic,13-17,Teen Daughters
