date,channel,campaign_name,campaign_id,dma_name,state,spend_usd,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment,spend_currency
2023-04-07,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,174.69,9404,355,4565,3536,2652,1891,1232,Video Views,18-24,Suburban Moms,USD
2023-01-18,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,82.28,3711,50,1897,1468,1128,760,518,Conversions,18-24,Suburban Moms,USD
2024-01-03,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,412.98,20568,453,9280,7795,6793,4438,3280,Video Views,18-24,Moms & Daughters,USD
2024-05-14,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,233.33,11956,359,5291,4387,2811,2226,2017,Video Views,35-44,Moms & Daughters,USD
2023-04-23,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,216.15,14054,269,8051,5606,4869,3203,2244,Video Views,18-24,Suburban Moms,USD
2023-04-26,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,124.86,5390,149,2702,2260,1685,1029,711,Traffic,35-44,Teen Daughters,USD
2024-03-22,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,181.29,12359,363,4678,3749,3366,2459,1914,Traffic,13-17,Teen Daughters,USD
2023-11-25,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,594.27,28845,1113,14285,11424,8785,6973,6622,Conversions,25-34,Suburban Moms,USD
2023-06-16,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,446.22,27432,695,16092,12168,9503,6552,4065,Conversions,18-24,Moms & Daughters,USD
2024-01-04,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,446.67,18358,189,5666,4519,3052,2170,1583,Video Views,25-34,Moms & Daughters,USD
2023-01-23,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,217.69,12905,230,6804,4758,3466,2880,2633,Traffic,13-17,Suburban Moms,USD
2024-01-19,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,219.9,14836,236,5969,3667,2539,2067,1756,Traffic,25-34,Suburban Moms,USD
2023-04-17,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,201.67,10840,275,4500,3881,3408,2450,2233,Conversions,13-17,Teen Daughters,USD
2023-11-02,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,374.82,23727,609,7836,6898,5069,3300,2867,Video Views,13-17,Teen Daughters,USD
2023-09-06,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,236.41,12252,417,5170,3520,2127,1734,1210,Video Views,35-44,Moms & Daughters,USD
