date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,link_clicks,video_views,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2023-03-22,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,133.39,7002,171,2535,872,742,Traffic,18-24,Moms & Daughters
2023-08-18,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,277.69,16274,500,7825,3937,3319,Conversions,25-34,Moms & Daughters
2024-06-23,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,37.25,2140,53,675,194,142,Conversions,35-44,Teen Daughters
2024-06-21,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,125.09,7578,232,3681,1727,1153,Video Views,18-24,Teen Daughters
2023-02-27,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,202.5,13470,143,6906,2331,1949,Video Views,18-24,Moms & Daughters
2023-06-26,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,70.92,4568,139,2685,1096,976,Video Views,13-17,Teen Daughters
2024-06-18,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,152.51,8261,199,4214,2039,1781,Traffic,35-44,Suburban Moms
2024-01-01,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,116.47,7168,145,2478,875,663,Traffic,18-24,Suburban Moms
2023-06-26,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,116.72,6875,212,2809,922,705,Conversions,18-24,Teen Daughters
2023-03-24,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,117.05,6383,91,3559,1165,719,Video Views,13-17,Suburban Moms
2023-02-05,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,123.18,7898,87,3611,1975,1352,Video Views,35-44,Suburban Moms
2023-03-30,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,166.12,6785,120,3360,2020,1288,Conversions,13-17,Teen Daughters
2023-01-22,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,190.97,12598,241,4799,2238,1901,Video Views,18-24,Suburban Moms
2023-09-22,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,261.75,11209,377,4966,1716,1373,Video Views,13-17,Suburban Moms
2023-01-16,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,127.71,8840,96,2764,979,758,Conversions,25-34,Moms & Daughters
2024-01-31,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,92.46,3795,77,1802,939,879,Conversions,25-34,Moms & Daughters
2023-02-04,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,118.1,5930,75,2121,835,518,Conversions,18-24,Moms & Daughters
2023-07-30,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,236.0,16192,177,6159,1823,1551,Conversions,25-34,Teen Daughters
2023-03-26,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,117.41,7995,103,4029,1351,909,Traffic,13-17,Teen Daughters
2023-09-28,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,19.79,1143,13,558,184,134,Video Views,35-44,Moms & Daughters
2023-04-15,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,103.79,7077,93,2480,1441,1063,Traffic,35-44,Moms & Daughters
2023-07-13,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,232.86,14310,223,7535,2872,2153,Video Views,18-24,Moms & Daughters
2023-12-10,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,77.27,4163,50,1862,908,791,Conversions,35-44,Suburban Moms
2024-03-03,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,755.41,36000,786,20756,7686,5927,Conversions,25-34,Suburban Moms
2024-05-21,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,59.21,2796,53,1229,520,455,Conversions,25-34,Suburban Moms
2023-10-13,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,141.96,7453,186,3177,1318,1132,Traffic,35-44,Teen Daughters
2023-03-19,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,98.55,6573,241,3467,1564,1381,Video Views,35-44,Suburban Moms
2023-12-07,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,224.23,9594,102,4874,2407,2024,Traffic,35-44,Moms & Daughters
2024-04-05,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,137.6,6281,141,3639,2221,1447,Video Views,25-34,Moms & Daughters
2024-03-24,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,83.52,4839,73,1864,507,394,Conversions,18-24,Suburban Moms
2023-07-26,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,147.97,10002,255,3883,1147,886,Traffic,35-44,Suburban Moms
2024-03-11,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,131.93,8832,351,2681,1275,902,Video Views,25-34,Moms & Daughters
2023-12-13,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,115.28,4747,104,1554,501,407,Traffic,25-34,Moms & Daughters
2023-10-24,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,97.01,4826,65,1794,812,633,Video Views,13-17,Suburban Moms
2023-12-06,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,143.48,7917,269,3560,1278,1063,Traffic,13-17,Teen Daughters
2024-03-02,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,306.42,16911,350,6250,2601,2310,Traffic,13-17,Moms & Daughters
2023-12-13,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,200.91,11065,157,5382,1884,1555,Conversions,18-24,Suburban Moms
2023-05-31,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,111.43,7323,207,3384,1486,1045,Video Views,18-24,Teen Daughters
2023-03-31,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,141.62,8464,308,4454,1302,1190,Conversions,35-44,Teen Daughters
2023-04-11,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,235.39,10123,207,3162,993,879,Video Views,25-34,Moms & Daughters
2023-10-31,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,225.69,10137,323,4562,1327,1119,Traffic,35-44,Moms & Daughters
2023-07-03,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,157.42,8015,237,3925,1717,1080,Conversions,13-17,Suburban Moms
2023-07-26,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,103.3,5657,70,2272,879,677,Traffic,18-24,Teen Daughters
2023-02-19,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,67.42,4649,185,2768,1414,863,Traffic,35-44,Suburban Moms
2023-09-17,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,65.96,4161,58,1914,553,493,Traffic,13-17,Suburban Moms
2023-06-02,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,26.36,1302,39,587,191,153,Video Views,18-24,Moms & Daughters
2024-02-15,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,46.78,3246,76,1489,566,497,Video Views,13-17,Suburban Moms
2024-03-28,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,31.66,2212,28,1072,560,390,Conversions,13-17,Suburban Moms
2023-01-15,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,459.06,22068,274,11805,4620,2810,Video Views,13-17,Teen Daughters
2023-10-31,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,92.59,5781,72,2721,1472,1134,Video Views,18-24,Teen Daughters
2023-10-18,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,160.38,8521,282,4708,1939,1325,Traffic,25-34,Teen Daughters
2024-01-27,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,186.78,11617,449,6127,2260,1632,Conversions,18-24,Teen Daughters
2023-12-19,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,75.74,3065,63,971,317,245,Conversions,13-17,Moms & Daughters
2023-10-31,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,122.07,6298,147,2712,1025,965,Traffic,13-17,Moms & Daughters
2023-07-14,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,253.72,12640,236,6614,2515,1921,Conversions,25-34,Teen Daughters
2024-01-11,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,214.36,14559,304,5695,1548,1371,Conversions,18-24,Moms & Daughters
2023-06-16,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,223.11,14239,372,6567,2330,1971,Video Views,13-17,Suburban Moms
2023-03-06,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,30.46,1772,56,980,313,252,Video Views,35-44,Suburban Moms
2023-06-03,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,150.07,6157,199,3277,1439,956,Video Views,18-24,Moms & Daughters
2024-04-16,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,104.29,6169,229,1938,575,485,Video Views,25-34,Moms & Daughters
2023-07-08,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,80.2,3932,88,1853,1032,747,Traffic,13-17,Suburban Moms
2023-02-20,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,237.52,14693,485,7953,4200,3271,Traffic,13-17,Suburban Moms
2024-03-26,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,190.37,9294,154,5089,2143,1633,Video Views,35-44,Moms & Daughters
2024-06-18,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,158.76,8483,119,4270,1664,1575,Traffic,25-34,Teen Daughters
2024-04-27,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,98.99,5107,177,2906,1492,1104,Video Views,35-44,Teen Daughters
2023-10-20,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,234.81,13263,144,6929,4181,2725,Conversions,25-34,Moms & Daughters
2024-03-14,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,50.78,3121,113,1594,629,428,Video Views,18-24,Moms & Daughters
2023-01-31,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,189.46,9220,158,2969,1051,806,Video Views,13-17,Suburban Moms
2023-09-29,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,112.18,6525,213,3281,1486,1214,Video Views,18-24,Moms & Daughters
2023-12-03,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,348.57,17469,273,8201,2570,1681,Traffic,25-34,Moms & Daughters
2023-06-03,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,198.02,11388,114,6742,2043,1394,Traffic,18-24,Teen Daughters
2024-06-11,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,84.37,4909,107,2824,1003,618,Video Views,13-17,Teen Daughters
2024-02-26,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,238.85,10349,392,3134,1569,1113,Video Views,35-44,Teen Daughters
2024-06-28,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,147.36,6112,133,2555,1248,759,Video Views,18-24,Suburban Moms
2023-06-28,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,73.69,4680,83,2029,723,470,Traffic,25-34,Moms & Daughters
2023-01-24,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,104.05,4458,104,1933,977,632,Traffic,25-34,Teen Daughters
2024-03-28,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,53.64,2383,47,969,535,504,Traffic,18-24,Suburban Moms
2023-10-05,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,96.52,5007,154,1685,561,416,Video Views,35-44,Suburban Moms
2023-08-15,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,528.53,25979,962,8947,3362,2700,Video Views,35-44,Teen Daughters
2023-12-10,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,27.64,1756,52,971,381,350,Video Views,25-34,Teen Daughters
2023-08-20,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,268.34,12937,189,5003,1807,1415,Conversions,13-17,Suburban Moms
2023-12-27,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,150.22,7296,218,3834,1640,1058,Conversions,25-34,Suburban Moms
2023-05-09,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,44.3,2774,71,1203,314,191,Video Views,35-44,Suburban Moms
2024-01-15,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,55.45,3019,71,1801,577,354,Conversions,13-17,Teen Daughters
2024-05-14,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,58.24,2971,94,1773,867,688,Video Views,35-44,Moms & Daughters
2024-04-23,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,68.53,3730,50,2170,1030,911,Video Views,35-44,Teen Daughters
2023-12-01,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,154.54,8739,145,3012,1023,773,Video Views,25-34,Teen Daughters
2023-12-20,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,278.93,15744,230,8975,2946,1955,Conversions,35-44,Moms & Daughters
2024-03-02,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,287.16,14331,173,5920,2453,1565,Conversions,35-44,Moms & Daughters
2023-03-11,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,233.05,15442,343,7776,3061,2487,Video Views,13-17,Moms & Daughters
2024-06-19,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,196.25,9099,217,2972,1540,978,Traffic,13-17,Suburban Moms
2024-02-04,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,277.2,16431,231,8897,3574,2517,Conversions,35-44,Teen Daughters
2023-05-27,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,183.35,10334,156,5099,1733,1041,Conversions,25-34,Teen Daughters
2023-05-23,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,194.42,8843,283,2929,1470,1233,Traffic,35-44,Teen Daughters
2023-07-23,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,183.58,9888,221,4372,1372,1060,Conversions,25-34,Moms & Daughters
2024-06-16,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,72.14,3970,54,1686,737,587,Video Views,35-44,Suburban Moms
2024-02-20,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,48.85,2796,35,1408,355,325,Video Views,25-34,Suburban Moms
2024-03-28,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,126.28,7127,124,2695,1512,1266,Video Views,25-34,Moms & Daughters
2023-09-28,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,78.57,3186,65,1496,575,347,Conversions,18-24,Teen Daughters
2023-01-03,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,118.03,6106,156,3216,1781,1360,Conversions,13-17,Moms & Daughters
2023-12-28,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,126.56,5150,166,3013,1066,671,Traffic,35-44,Moms & Daughters
2023-11-06,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,81.02,5525,146,2834,1140,738,Traffic,18-24,Moms & Daughters
2023-07-28,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,243.52,13552,301,6488,2145,1906,Video Views,18-24,Suburban Moms
