date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2023-04-07,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,258.98,17139,623,6625,4050,2693,1798,1387,Traffic,25-34,Suburban Moms
2023-01-18,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,122.36,8173,84,3223,2639,2207,1705,1215,Traffic,25-34,Suburban Moms
2024-01-03,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,141.56,9742,102,3424,2698,1757,1055,725,Traffic,13-17,Teen Daughters
2024-05-14,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,139.03,7431,126,2305,1408,1249,1088,809,Video Views,18-24,Suburban Moms
2023-04-23,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,286.55,19154,741,9099,6007,5029,3129,2648,Video Views,25-34,Moms & Daughters
2023-04-26,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,62.12,2531,40,1497,1199,1076,689,615,Video Views,35-44,Suburban Moms
2024-03-22,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,131.62,7503,190,3397,2600,1934,1367,984,Conversions,18-24,Teen Daughters
2023-11-25,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,214.37,11562,273,6606,4720,3204,2084,1832,Traffic,13-17,Moms & Daughters
2023-06-16,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,192.35,9317,193,2896,2468,2104,1409,1283,Conversions,25-34,Teen Daughters
2024-01-04,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,56.14,2757,109,1332,859,709,633,557,Video Views,25-34,Moms & Daughters
2023-01-23,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,251.61,10503,164,5477,4263,2756,2269,2002,Conversions,13-17,Suburban Moms
2024-01-19,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,100.3,6333,155,2666,2087,1845,1624,1026,Traffic,13-17,Teen Daughters
2023-04-17,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,95.48,4951,58,2521,1681,1479,1280,1040,Traffic,25-34,Suburban Moms
2023-11-02,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,81.59,3580,137,1873,1497,1139,980,866,Video Views,18-24,Moms & Daughters
2023-09-06,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,525.81,23660,270,7477,6327,4546,3816,2747,Conversions,18-24,Suburban Moms
2024-06-26,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,35.91,2139,83,1149,792,563,435,377,Traffic,35-44,Suburban Moms
2023-07-05,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,262.03,16084,469,6389,4298,3229,2433,2069,Video Views,25-34,Suburban Moms
2023-04-12,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,154.14,7094,86,4046,3032,2166,1944,1220,Conversions,18-24,Teen Daughters
2024-02-14,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,288.11,16236,524,8340,7299,5960,4789,3456,Traffic,18-24,Teen Daughters
2024-05-01,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,104.68,6537,136,2133,1742,1502,1125,826,Conversions,25-34,Moms & Daughters
2024-05-22,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,94.44,5089,138,1660,1279,782,699,599,Conversions,13-17,Teen Daughters
2024-05-28,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,287.16,15799,288,7197,4970,4153,3642,3002,Video Views,13-17,Moms & Daughters
2024-03-18,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,70.22,3115,69,1493,1253,897,705,587,Traffic,13-17,Moms & Daughters
2023-04-28,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,158.69,8283,148,4797,3941,3455,2264,1888,Video Views,13-17,Moms & Daughters
2024-06-24,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,92.55,5558,137,2280,1827,1385,1230,808,Traffic,18-24,Teen Daughters
2023-09-27,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,94.08,4917,164,2392,1776,1252,1097,699,Video Views,35-44,Moms & Daughters
2024-06-09,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,154.2,6448,101,2837,2294,1608,984,618,Video Views,18-24,Suburban Moms
2024-03-09,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,280.28,16861,426,5554,3381,2496,1546,991,Traffic,25-34,Teen Daughters
2024-03-20,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,68.77,3729,46,2180,1792,1270,815,579,Video Views,13-17,Teen Daughters
2024-05-27,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,132.96,8733,153,2736,2162,1653,1089,838,Video Views,13-17,Teen Daughters
2023-01-25,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,141.81,8810,191,2934,2538,2215,1585,1498,Video Views,13-17,Teen Daughters
