date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,views,video_25pct,video_50pct,video_75pct,video_completes,age_target,audience_segment
2024-06-28,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,213.84,13954,143,7534,6075,4336,3631,2339,13-17,Moms & Daughters
2024-04-02,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,101.47,4982,150,2120,1348,895,700,590,35-44,Moms & Daughters
2023-06-27,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,332.18,19138,365,7931,5176,4228,3434,2301,25-34,Moms & Daughters
2024-04-17,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,145.37,7833,245,4068,3222,2681,1615,1254,13-17,Teen Daughters
2024-05-12,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,313.25,15788,329,6106,5031,4280,2978,2668,25-34,Suburban Moms
2023-05-24,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,174.52,7305,261,2878,1895,1430,1248,767,35-44,Suburban Moms
2023-03-31,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,311.44,12967,457,6411,4623,2796,2173,1313,13-17,Teen Daughters
2024-06-13,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,180.16,7753,142,3636,2367,1448,1063,767,25-34,Suburban Moms
2024-06-02,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,336.09,15473,231,5314,3698,2545,1548,1236,25-34,Moms & Daughters
2023-07-08,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,252.56,13061,378,7630,4967,3159,1927,1401,35-44,Suburban Moms
2023-03-05,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,230.35,15164,431,4607,3725,2702,2079,1719,13-17,Moms & Daughters
2023-07-10,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,91.48,5009,113,2883,2040,1797,1325,1242,18-24,Teen Daughters
2023-04-11,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,189.45,10423,411,5725,5000,3381,2812,1948,35-44,Suburban Moms
2023-08-21,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,420.3,18006,624,6558,3985,2651,1971,1694,13-17,Teen Daughters
2024-06-28,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,319.6,18540,621,6815,5482,4198,3142,2480,35-44,Suburban Moms
2023-08-04,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,516.37,22454,258,11815,7924,4812,3460,2660,25-34,Moms & Daughters
2023-03-16,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,75.44,3205,93,1415,1234,874,599,464,13-17,Moms & Daughters
2023-11-10,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,128.67,6125,242,2453,1991,1767,1494,1208,13-17,Moms & Daughters
2023-11-27,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,193.61,10093,393,5130,3149,2201,1692,1099,18-24,Teen Daughters
2023-09-26,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,270.2,15608,604,8405,5914,3793,2804,2068,18-24,Teen Daughters
2023-08-11,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,243.95,12502,275,4346,3354,2562,1682,1328,13-17,Suburban Moms
2023-11-24,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,625.15,40045,1144,18831,14065,9303,6553,4863,18-24,Moms & Daughters
2024-06-14,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,464.99,26478,819,13704,9425,7935,7013,5115,13-17,Teen Daughters
2023-11-29,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,146.24,10139,245,3524,3147,2162,1562,979,35-44,Moms & Daughters
2023-01-28,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,195.12,13169,382,6438,4641,3832,2909,2435,35-44,Moms & Daughters
2023-11-21,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,322.82,21930,574,7808,5918,4805,3992,3126,13-17,Suburban Moms
2023-06-12,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,258.56,15511,278,6312,5568,3742,2351,1467,18-24,Suburban Moms
2023-09-21,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,168.89,7099,92,2651,2348,1468,1240,1131,35-44,Moms & Daughters
2023-02-07,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,140.16,7627,92,3545,2570,2218,1466,1303,18-24,Moms & Daughters
2023-06-18,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,540.8,36606,839,21795,14487,11796,8967,7944,18-24,Moms & Daughters
2024-06-15,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,152.46,7387,277,2881,1859,1537,944,707,13-17,Moms & Daughters
2023-03-23,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,74.77,3015,45,1494,1170,978,661,573,25-34,Suburban Moms
2023-01-10,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,332.83,22017,364,13050,9148,5988,5011,4161,18-24,Moms & Daughters
2023-11-26,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,415.0,24379,571,8806,5632,4210,3240,2288,35-44,Teen Daughters
2023-04-10,TikTok,TikTok Always On,TI_1103,"Savannah, GA",GA,34.42,2358,57,1037,825,520,351,323,35-44,Teen Daughters
2023-11-30,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,1204.19,84213,2798,30855,25436,19360,14234,13202,13-17,Moms & Daughters
2024-03-28,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,368.56,25450,571,13468,9748,6754,5351,4723,25-34,Moms & Daughters
2023-09-20,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,143.34,9598,311,5597,3738,2838,1974,1525,18-24,Suburban Moms
2023-06-26,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,195.59,9980,358,3081,2255,1698,1328,925,35-44,Suburban Moms
2023-05-14,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,302.06,14444,558,7699,6437,5066,4314,3734,25-34,Moms & Daughters
2023-03-21,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,94.27,6003,155,2327,1853,1468,973,594,25-34,Teen Daughters
2024-01-14,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,207.5,8917,122,5108,4357,3215,2343,1859,35-44,Teen Daughters
2023-08-01,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,175.13,12031,332,3844,2874,2580,1847,1492,35-44,Teen Daughters
2023-04-28,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,313.45,12627,489,5739,5135,3170,2456,1773,25-34,Teen Daughters
2023-02-03,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,310.6,18993,612,9559,6458,5566,3621,2240,35-44,Moms & Daughters
2023-08-25,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,838.29,51547,1790,24595,21189,15984,13570,12663,35-44,Teen Daughters
2023-08-16,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,248.13,11431,149,5215,4675,2853,2106,1548,13-17,Suburban Moms
2024-06-19,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,333.49,15182,220,4772,3090,2603,2298,2103,13-17,Suburban Moms
2023-03-02,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,294.31,20407,812,9523,6199,4307,3132,2218,35-44,Teen Daughters
2023-02-18,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,362.56,23824,534,7785,5693,3809,2618,2278,35-44,Moms & Daughters
2024-06-20,TikTok,TikTok Always On,TI_1103,"Savannah, GA",GA,19.74,917,35,541,376,313,198,172,35-44,Teen Daughters
