date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2023-04-07,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,246.46,12751,494,5106,4256,3645,2663,1950,Conversions,18-24,Moms & Daughters
2023-01-18,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,49.32,2144,82,845,732,571,484,457,Video Views,25-34,Suburban Moms
2024-01-03,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,266.29,12726,174,7438,6035,3941,3333,2918,Video Views,35-44,Suburban Moms
2024-05-14,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,301.79,17999,409,9965,7442,5648,4375,3119,Conversions,13-17,Teen Daughters
2023-04-23,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,230.38,11933,197,6297,5259,4611,3286,2553,Video Views,25-34,Teen Daughters
2023-04-26,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,179.85,7593,122,2489,1540,1047,807,756,Traffic,25-34,Moms & Daughters
2024-03-22,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,273.17,13225,162,7081,4330,2674,1840,1472,Traffic,25-34,Suburban Moms
2023-11-25,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,349.78,23554,866,13088,9325,8227,6923,6216,Conversions,13-17,Suburban Moms
2023-06-16,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,125.45,5566,98,2648,1842,1381,983,810,Conversions,35-44,Teen Daughters
2024-01-04,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,520.5,23425,848,8718,7177,4686,3740,3416,Video Views,35-44,Teen Daughters
2023-01-23,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,218.46,14814,194,7841,5668,4514,3060,2006,Video Views,25-34,Teen Daughters
2024-01-19,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,198.04,12562,276,5523,4861,3776,3013,1828,Conversions,13-17,Suburban Moms
2023-04-17,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,212.15,11709,128,3756,2543,1940,1594,1293,Traffic,13-17,Suburban Moms
2023-11-02,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,163.12,10760,370,4595,3409,2316,1590,1500,Traffic,13-17,Suburban Moms
2023-09-06,TikTok,TikTok Always On,TI_1103,"Savannah, GA",GA,53.0,2178,66,1302,1140,917,781,538,Video Views,13-17,Moms & Daughters
2024-06-26,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,238.4,12067,460,7182,5999,4891,2937,2084,Conversions,25-34,Moms & Daughters
2023-07-05,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,195.5,11541,169,4120,3246,2912,2525,2039,Video Views,25-34,Suburban Moms
2023-04-12,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,69.45,3395,97,1446,894,667,562,356,Traffic,35-44,Moms & Daughters
2024-02-14,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,101.8,4975,180,2448,1545,1362,889,679,Traffic,13-17,Moms & Daughters
2024-05-01,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,440.99,25990,290,8446,5081,3382,2214,1987,Video Views,13-17,Teen Daughters
2024-05-22,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,164.15,8501,135,3813,3014,2083,1550,1058,Conversions,18-24,Teen Daughters
2024-05-28,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,431.21,22802,905,9048,5609,4328,3724,3039,Video Views,25-34,Suburban Moms
2024-03-18,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,177.11,11108,338,5214,4210,3205,2152,1859,Conversions,13-17,Moms & Daughters
2023-04-28,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,228.88,11960,423,4155,2519,2104,1309,1238,Traffic,25-34,Moms & Daughters
2024-06-24,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,143.86,7725,87,2464,1571,1065,878,541,Conversions,25-34,Suburban Moms
2023-09-27,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,261.07,12977,243,6998,4558,3566,2194,1738,Conversions,13-17,Teen Daughters
2024-06-09,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,288.31,16376,164,8215,5452,3480,2406,2003,Conversions,25-34,Teen Daughters
2024-03-09,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,451.98,18640,217,6880,4143,3018,2442,2072,Video Views,25-34,Suburban Moms
2024-03-20,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,107.0,5858,162,1763,1392,1039,693,419,Traffic,25-34,Moms & Daughters
2024-05-27,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,149.34,8783,162,3298,2179,1428,1119,1026,Conversions,18-24,Moms & Daughters
2023-01-25,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,102.47,4194,74,1300,1122,755,579,355,Video Views,25-34,Teen Daughters
2023-12-24,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,202.13,13063,306,6164,4709,3638,2952,2421,Video Views,13-17,Teen Daughters
2024-06-25,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,65.8,3399,37,1104,808,724,472,431,Traffic,13-17,Suburban Moms
2024-05-07,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,235.91,10503,414,6034,5418,3836,3247,2321,Conversions,18-24,Moms & Daughters
2023-11-12,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,117.26,5716,63,1957,1547,1273,942,763,Conversions,18-24,Teen Daughters
2023-10-24,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,75.27,4884,184,2534,2098,1460,1080,982,Traffic,35-44,Suburban Moms
2024-03-12,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,184.9,9713,345,5767,4074,2804,2330,1764,Traffic,18-24,Suburban Moms
2024-05-20,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,142.16,5829,135,2855,1962,1579,1358,857,Conversions,25-34,Suburban Moms
2023-06-20,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,75.44,3874,125,2189,1816,1108,939,817,Conversions,13-17,Teen Daughters
2024-06-08,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,254.59,11787,430,4630,2820,2357,2071,1399,Conversions,35-44,Suburban Moms
2024-05-17,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,129.85,5579,104,2864,2555,1718,1493,1281,Conversions,18-24,Moms & Daughters
2024-05-23,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,144.32,7660,205,2411,1872,1172,986,923,Traffic,25-34,Suburban Moms
2023-07-25,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,300.28,19963,260,11077,9300,6985,4838,3589,Traffic,35-44,Suburban Moms
2024-05-19,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,329.58,18194,308,10404,8095,7118,6078,5511,Video Views,25-34,Teen Daughters
2023-05-21,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,354.56,21887,273,10447,7778,6948,5932,4503,Video Views,18-24,Teen Daughters
