date,post_id,caption,followers,impressions,video_views,video_completes,likes,comments,shares,clicks,saves
2024-01-02,tt_post_1,Holiday sparkle from S'Belles.,7109,1653,959,762,78,5,4,30,28
2024-01-02,tt_post_2,Holiday sparkle from S'Belles.,6727,1189,603,255,46,3,3,38,11
2024-01-03,tt_post_3,Karen LeSac's favorite fall dress for girls.,6838,1072,830,569,77,9,6,29,21
2024-01-06,tt_post_4,Karen LeSac's favorite fall dress for girls.,6694,1420,886,576,87,5,2,23,39
2024-01-06,tt_post_5,Suburban carpool ready styles.,6949,2080,1363,815,95,6,5,68,31
2024-01-06,tt_post_6,Matching mom & daughter outfits from S'Belles.,6845,1728,1493,1124,173,17,5,51,68
2024-01-07,tt_post_7,Back-to-school looks for your mini.,6929,2242,1418,1101,107,6,5,28,47
2024-01-07,tt_post_8,Back-to-school looks for your mini.,6569,1363,924,596,75,8,6,43,36
2024-01-07,tt_post_9,Back-to-school looks for your mini.,6630,1987,1076,685,141,17,6,24,29
2024-01-09,tt_post_10,Karen LeSac's favorite fall dress for girls.,6773,1141,821,369,91,13,3,34,29
2024-01-12,tt_post_11,Back-to-school looks for your mini.,6659,1938,1195,773,117,14,10,49,40
2024-01-13,tt_post_12,Back-to-school looks for your mini.,6865,1727,1230,529,129,18,9,58,35
2024-01-14,tt_post_13,Karen LeSac's favorite fall dress for girls.,7010,1694,1133,595,110,16,6,42,39
2024-01-14,tt_post_14,Holiday sparkle from S'Belles.,6736,1776,1180,584,165,9,15,25,42
2024-01-15,tt_post_15,Karen LeSac's favorite fall dress for girls.,6961,1590,1170,486,166,13,13,41,45
2024-01-16,tt_post_16,Matching mom & daughter outfits from S'Belles.,7024,1426,866,483,75,7,7,16,35
2024-01-16,tt_post_17,Suburban carpool ready styles.,7156,1704,1457,626,110,8,4,28,40
2024-01-17,tt_post_18,Matching mom & daughter outfits from S'Belles.,6702,1441,916,487,101,6,8,56,50
2024-01-18,tt_post_19,Holiday sparkle from S'Belles.,6681,1833,1459,650,149,20,13,56,56
2024-01-18,tt_post_20,Back-to-school looks for your mini.,6955,1108,861,664,125,10,7,11,70
2024-01-19,tt_post_21,Karen LeSac's favorite fall dress for girls.,6655,1092,647,487,93,11,9,35,26
2024-01-19,tt_post_22,Back-to-school looks for your mini.,6748,1093,804,492,42,5,2,27,18
2024-01-20,tt_post_23,Back-to-school looks for your mini.,7010,1428,816,384,72,5,2,36,35
2024-01-21,tt_post_24,Karen LeSac's favorite fall dress for girls.,7036,2126,1601,1165,134,20,11,33,74
2024-01-22,tt_post_25,Karen LeSac's favorite fall dress for girls.,7127,1215,722,522,98,11,9,25,42
2024-01-22,tt_post_26,Holiday sparkle from S'Belles.,6934,1492,776,547,44,4,3,59,20
2024-01-22,tt_post_27,Back-to-school looks for your mini.,7174,1334,1047,646,66,3,3,21,38
2024-01-23,tt_post_28,Matching mom & daughter outfits from S'Belles.,6908,1646,907,626,122,11,10,52,29
2024-01-23,tt_post_29,Holiday sparkle from S'Belles.,6927,1405,1053,519,92,8,3,32,30
2024-01-24,tt_post_30,Holiday sparkle from S'Belles.,7118,1360,1137,484,82,7,2,27,36
2024-01-24,tt_post_31,Matching mom & daughter outfits from S'Belles.,6950,1886,1641,845,217,19,12,67,120
2024-01-25,tt_post_32,Suburban carpool ready styles.,6803,1194,643,493,87,8,5,14,28
2024-01-26,tt_post_33,Matching mom & daughter outfits from S'Belles.,6742,1842,1597,656,206,28,12,34,106
2024-01-27,tt_post_34,Karen LeSac's favorite fall dress for girls.,6779,1814,1210,608,105,7,6,32,34
2024-01-27,tt_post_35,Suburban carpool ready styles.,7059,1351,973,450,65,5,5,53,23
2024-01-28,tt_post_36,Karen LeSac's favorite fall dress for girls.,6910,2182,1737,1009,135,18,9,81,72
2024-01-28,tt_post_37,Karen LeSac's favorite fall dress for girls.,7234,2317,1228,889,125,7,11,28,56
2024-01-29,tt_post_38,Back-to-school looks for your mini.,6665,1170,759,535,70,5,4,29,20
2024-01-29,tt_post_39,Holiday sparkle from S'Belles.,7178,1421,713,440,63,5,3,45,22
2024-01-30,tt_post_40,Karen LeSac's favorite fall dress for girls.,6908,1307,1106,470,116,5,6,35,31
2024-02-01,tt_post_41,Karen LeSac's favorite fall dress for girls.,6771,1756,1421,634,132,11,8,46,70
2024-02-02,tt_post_42,Matching mom & daughter outfits from S'Belles.,6802,1843,1584,752,219,16,20,28,100
2024-02-02,tt_post_43,Suburban carpool ready styles.,7275,1691,923,384,119,16,4,45,50
2024-02-03,tt_post_44,Holiday sparkle from S'Belles.,6698,1900,1534,614,146,7,8,21,68
2024-02-05,tt_post_45,Holiday sparkle from S'Belles.,7282,1278,956,520,116,11,4,34,39
2024-02-05,tt_post_46,Matching mom & daughter outfits from S'Belles.,6841,1507,1179,701,156,15,5,16,66
2024-02-06,tt_post_47,Holiday sparkle from S'Belles.,7060,1826,1601,895,162,22,13,57,94
2024-02-07,tt_post_48,Karen LeSac's favorite fall dress for girls.,6768,1073,874,421,77,11,3,39,24
2024-02-08,tt_post_49,Karen LeSac's favorite fall dress for girls.,6910,1627,846,463,48,4,3,39,18
2024-02-09,tt_post_50,Karen LeSac's favorite fall dress for girls.,7050,1819,1202,873,162,8,13,24,55
2024-02-10,tt_post_51,Matching mom & daughter outfits from S'Belles.,6875,1438,1048,816,90,13,4,26,20
2024-02-11,tt_post_52,Holiday sparkle from S'Belles.,7327,2195,1472,879,167,11,13,77,52
2024-02-12,tt_post_53,Back-to-school looks for your mini.,6975,1368,723,312,40,2,3,44,23
2024-02-12,tt_post_54,Holiday sparkle from S'Belles.,6833,1288,1016,587,139,11,12,48,82
2024-02-13,tt_post_55,Back-to-school looks for your mini.,6749,1440,1285,798,138,7,7,39,50
2024-02-14,tt_post_56,Suburban carpool ready styles.,6896,1293,1163,725,168,21,5,38,59
2024-02-15,tt_post_57,Back-to-school looks for your mini.,6952,1352,1103,518,74,6,6,41,33
2024-02-15,tt_post_58,Back-to-school looks for your mini.,7133,1205,1061,588,114,13,4,43,30
2024-02-16,tt_post_59,Matching mom & daughter outfits from S'Belles.,7000,1087,797,508,56,5,2,11,23
2024-02-16,tt_post_60,Back-to-school looks for your mini.,6888,1593,1263,603,167,9,9,23,46
2024-02-16,tt_post_61,Back-to-school looks for your mini.,6894,1798,1605,975,132,8,4,70,54
2024-02-18,tt_post_62,Suburban carpool ready styles.,6773,1837,1525,1144,148,16,8,70,63
2024-02-18,tt_post_63,Holiday sparkle from S'Belles.,7356,1514,1055,488,64,5,2,42,28
2024-02-20,tt_post_64,Suburban carpool ready styles.,6817,1846,1460,1011,167,11,12,35,63
2024-02-21,tt_post_65,Matching mom & daughter outfits from S'Belles.,7095,1340,682,462,36,2,3,23,19
2024-02-21,tt_post_66,Back-to-school looks for your mini.,7204,1868,1077,584,108,13,4,26,34
2024-02-21,tt_post_67,Holiday sparkle from S'Belles.,7217,1576,1060,558,123,13,10,31,32
2024-02-22,tt_post_68,Holiday sparkle from S'Belles.,7288,1943,1251,603,96,13,9,55,39
2024-02-22,tt_post_69,Holiday sparkle from S'Belles.,7025,1824,1337,989,84,4,7,48,48
2024-02-23,tt_post_70,Karen LeSac's favorite fall dress for girls.,7148,1468,1306,916,173,12,15,52,85
2024-02-23,tt_post_71,Back-to-school looks for your mini.,6862,1186,876,634,70,7,2,22,32
2024-02-26,tt_post_72,Suburban carpool ready styles.,6819,1888,1169,723,84,7,2,50,39
2024-02-26,tt_post_73,Back-to-school looks for your mini.,6831,1618,1282,661,157,12,7,24,36
2024-03-02,tt_post_74,Suburban carpool ready styles.,6903,1798,1590,1149,127,17,9,55,64
2024-03-03,tt_post_75,Matching mom & daughter outfits from S'Belles.,6981,1608,1253,930,173,12,15,61,47
2024-03-04,tt_post_76,Suburban carpool ready styles.,6910,1373,926,374,73,9,6,25,31
2024-03-05,tt_post_77,Back-to-school looks for your mini.,7442,1480,752,505,108,10,5,55,45
2024-03-06,tt_post_78,Karen LeSac's favorite fall dress for girls.,7374,1677,1188,640,103,6,5,51,20
2024-03-06,tt_post_79,Suburban carpool ready styles.,7196,1452,1164,665,96,10,4,30,27
2024-03-07,tt_post_80,Suburban carpool ready styles.,6880,1834,1482,947,128,6,4,39,28
2024-03-08,tt_post_81,Back-to-school looks for your mini.,7421,1693,1501,897,100,14,3,48,46
2024-03-09,tt_post_82,Back-to-school looks for your mini.,7189,2050,1163,702,164,18,6,78,89
