order_id,order_datetime,user_id,dma_name,state,zip_code,product_category,size,quantity,unit_price,unit_cost,discount_per_unit,line_revenue,promo_flag
ORD_20230701_4246,2023-07-01 13:04:00,u_677,"Macon, GA",GA,310465,Girls Dresses,S (6-7),1,32,11.35,0,32,0
ORD_20230701_5200,2023-07-01 20:59:00,u_700,"Columbus, GA",GA,318906,Girls Bottoms,XS (4-5),1,27,12.87,10,17,1
ORD_20230701_5200,2023-07-01 20:59:00,u_700,"Columbus, GA",GA,319399,Girls Bottoms,L (12-14),1,31,12.28,15,16,1
ORD_20230701_9642,2023-07-01 10:30:00,u_627,"Macon, GA",GA,310670,Girls Bottoms,M (8-10),1,29,13.89,10,19,1
ORD_20230701_9563,2023-07-01 17:05:00,u_1500,"Augusta, GA",GA,308092,Girls Tops,M (8-10),1,20,8.55,15,5,1
ORD_20230701_9563,2023-07-01 17:05:00,u_1500,"Augusta, GA",GA,309353,Girls Dresses,XS (4-5),1,32,12.03,0,32,0
ORD_20230701_9673,2023-07-01 12:37:00,u_36,"Augusta, GA",GA,309095,Girls Dresses,XS (4-5),1,39,20.83,0,39,0
ORD_20230701_9673,2023-07-01 12:37:00,u_36,"Augusta, GA",GA,309340,Girls Tops,M (8-10),3,24,8.54,15,27,1
ORD_20230701_4163,2023-07-01 12:33:00,u_1128,"Columbus, GA",GA,319701,Girls Bottoms,L (12-14),1,30,15.06,20,10,1
ORD_20230701_6364,2023-07-01 17:15:00,u_488,"Savannah, GA",GA,314831,Girls Bottoms,M (8-10),1,31,11.76,20,11,1
ORD_20230701_6364,2023-07-01 17:15:00,u_488,"Savannah, GA",GA,314115,Girls Tops,XS (4-5),1,19,8.6,20,-1,1
ORD_20230701_9766,2023-07-01 21:12:00,u_224,"Augusta, GA",GA,308284,Girls Dresses,M (8-10),2,32,15.18,0,64,0
ORD_20230701_9766,2023-07-01 21:12:00,u_224,"Augusta, GA",GA,308007,Girls Bottoms,M (8-10),1,25,8.97,0,25,0
ORD_20230701_3470,2023-07-01 08:33:00,u_114,"Macon, GA",GA,310027,Girls Bottoms,S (6-7),1,24,12.23,0,24,0
ORD_20230701_3470,2023-07-01 08:33:00,u_114,"Macon, GA",GA,310203,Girls Bottoms,XS (4-5),1,27,11.93,0,27,0
ORD_20230701_5336,2023-07-01 18:07:00,u_365,"Augusta, GA",GA,308729,Girls Tops,S (6-7),1,20,7.48,15,5,1
ORD_20230701_5336,2023-07-01 18:07:00,u_365,"Augusta, GA",GA,308373,Girls Tops,XS (4-5),1,19,7.05,20,-1,1
ORD_20230701_5336,2023-07-01 18:07:00,u_365,"Augusta, GA",GA,309762,Girls Tops,XS (4-5),1,26,12.07,0,26,0
ORD_20230701_2993,2023-07-01 09:35:00,u_767,"Savannah, GA",GA,313879,Girls Tops,XS (4-5),1,20,8.74,0,20,0
ORD_20230701_3423,2023-07-01 13:27:00,u_215,"Augusta, GA",GA,308687,Girls Bottoms,S (6-7),1,30,11.76,10,20,1
ORD_20230701_3423,2023-07-01 13:27:00,u_215,"Augusta, GA",GA,308783,Girls Bottoms,S (6-7),1,23,10.75,0,23,0
ORD_20230701_9148,2023-07-01 21:39:00,u_447,"Macon, GA",GA,310208,Girls Dresses,L (12-14),1,35,18.77,10,25,1
ORD_20230701_8279,2023-07-01 16:43:00,u_762,"Savannah, GA",GA,314664,Girls Dresses,M (8-10),3,37,15.9,0,111,0
ORD_20230701_4044,2023-07-01 10:17:00,u_44,"Columbus, GA",GA,318326,Girls Tops,S (6-7),1,22,10.03,15,7,1
ORD_20230701_9409,2023-07-01 13:40:00,u_1106,"Macon, GA",GA,310301,Girls Tops,XS (4-5),1,22,10.58,10,12,1
ORD_20230701_4722,2023-07-01 13:28:00,u_506,"Atlanta, GA",GA,301846,Girls Tops,L (12-14),1,25,9.28,15,10,1
ORD_20230701_4722,2023-07-01 13:28:00,u_506,"Atlanta, GA",GA,300524,Girls Dresses,L (12-14),2,37,18.63,0,74,0
ORD_20230701_4722,2023-07-01 13:28:00,u_506,"Atlanta, GA",GA,300786,Girls Dresses,M (8-10),1,39,16.5,0,39,0
ORD_20230701_6006,2023-07-01 17:50:00,u_489,"Columbus, GA",GA,318236,Girls Dresses,L (12-14),1,39,18.17,0,39,0
ORD_20230701_5314,2023-07-01 14:30:00,u_1460,"Columbus, GA",GA,319187,Girls Bottoms,XS (4-5),1,27,10.94,0,27,0
ORD_20230701_8104,2023-07-01 19:27:00,u_1363,"Augusta, GA",GA,308700,Girls Tops,M (8-10),1,23,11.96,20,3,1
ORD_20230701_5817,2023-07-01 21:34:00,u_360,"Augusta, GA",GA,308169,Girls Bottoms,S (6-7),2,27,11.05,20,14,1
ORD_20230702_2966,2023-07-02 20:52:00,u_51,"Macon, GA",GA,310734,Girls Tops,XS (4-5),1,23,8.13,20,3,1
ORD_20230702_2966,2023-07-02 20:52:00,u_51,"Macon, GA",GA,310097,Girls Dresses,S (6-7),1,32,12.31,0,32,0
ORD_20230702_2318,2023-07-02 21:43:00,u_995,"Macon, GA",GA,310758,Girls Tops,S (6-7),1,20,8.2,10,10,1
ORD_20230702_2318,2023-07-02 21:43:00,u_995,"Macon, GA",GA,310554,Girls Dresses,S (6-7),2,37,12.98,0,74,0
ORD_20230702_2318,2023-07-02 21:43:00,u_995,"Macon, GA",GA,310351,Girls Bottoms,L (12-14),2,30,10.97,0,60,0
ORD_20230702_1290,2023-07-02 15:51:00,u_1344,"Savannah, GA",GA,313202,Girls Tops,XS (4-5),1,22,10.03,20,2,1
ORD_20230702_9194,2023-07-02 17:19:00,u_1402,"Columbus, GA",GA,319777,Girls Bottoms,XS (4-5),1,31,16.57,0,31,0
ORD_20230702_9194,2023-07-02 17:19:00,u_1402,"Columbus, GA",GA,318459,Girls Dresses,S (6-7),1,32,13.15,20,12,1
ORD_20230702_4577,2023-07-02 17:35:00,u_471,"Columbus, GA",GA,318704,Girls Bottoms,L (12-14),1,23,8.43,10,13,1
ORD_20230702_4389,2023-07-02 18:25:00,u_526,"Columbus, GA",GA,319088,Girls Bottoms,M (8-10),1,26,11.43,15,11,1
ORD_20230702_6937,2023-07-02 20:36:00,u_488,"Augusta, GA",GA,309104,Girls Tops,S (6-7),1,21,11.55,0,21,0
ORD_20230702_8856,2023-07-02 14:55:00,u_1160,"Columbus, GA",GA,318599,Girls Dresses,XS (4-5),1,34,16.77,10,24,1
ORD_20230702_8512,2023-07-02 10:55:00,u_737,"Atlanta, GA",GA,301712,Girls Tops,XS (4-5),1,26,13.35,0,26,0
ORD_20230702_6506,2023-07-02 21:29:00,u_1249,"Savannah, GA",GA,313095,Girls Dresses,M (8-10),1,33,12.81,0,33,0
ORD_20230702_6506,2023-07-02 21:29:00,u_1249,"Savannah, GA",GA,314394,Girls Bottoms,L (12-14),1,26,9.68,0,26,0
ORD_20230702_3860,2023-07-02 16:58:00,u_1235,"Columbus, GA",GA,319552,Girls Tops,L (12-14),2,24,12.67,20,8,1
ORD_20230702_2011,2023-07-02 13:32:00,u_892,"Augusta, GA",GA,308963,Girls Bottoms,XS (4-5),1,23,10.38,10,13,1
ORD_20230702_2011,2023-07-02 13:32:00,u_892,"Augusta, GA",GA,308010,Girls Dresses,S (6-7),1,33,16.23,0,33,0
ORD_20230702_2011,2023-07-02 13:32:00,u_892,"Augusta, GA",GA,309910,Girls Bottoms,M (8-10),1,31,14.25,0,31,0
ORD_20230702_9367,2023-07-02 11:26:00,u_1235,"Atlanta, GA",GA,300774,Girls Dresses,L (12-14),1,34,18.56,0,34,0
ORD_20230702_5678,2023-07-02 14:57:00,u_949,"Columbus, GA",GA,319478,Girls Bottoms,XS (4-5),2,26,10.51,0,52,0
ORD_20230702_8161,2023-07-02 08:22:00,u_1178,"Atlanta, GA",GA,302898,Girls Tops,L (12-14),2,23,9.28,20,6,1
ORD_20230702_3993,2023-07-02 17:35:00,u_723,"Columbus, GA",GA,319913,Girls Dresses,XS (4-5),2,33,16.68,0,66,0
ORD_20230702_3993,2023-07-02 17:35:00,u_723,"Columbus, GA",GA,318319,Girls Bottoms,XS (4-5),2,28,13.58,20,16,1
ORD_20230702_4191,2023-07-02 19:06:00,u_863,"Atlanta, GA",GA,302363,Girls Dresses,XS (4-5),1,37,18.22,10,27,1
ORD_20230702_5326,2023-07-02 15:52:00,u_49,"Savannah, GA",GA,313980,Girls Dresses,XS (4-5),1,35,13.67,0,35,0
ORD_20230702_4474,2023-07-02 21:23:00,u_666,"Atlanta, GA",GA,301122,Girls Bottoms,M (8-10),3,28,11.74,0,84,0
ORD_20230702_1078,2023-07-02 08:13:00,u_578,"Atlanta, GA",GA,302827,Girls Tops,L (12-14),1,19,8.89,10,9,1
ORD_20230702_9824,2023-07-02 08:35:00,u_1241,"Augusta, GA",GA,308014,Girls Dresses,L (12-14),1,38,13.65,15,23,1
ORD_20230703_9638,2023-07-03 17:54:00,u_1185,"Atlanta, GA",GA,301934,Girls Dresses,M (8-10),1,33,12.74,15,18,1
ORD_20230703_6592,2023-07-03 16:06:00,u_495,"Augusta, GA",GA,308851,Girls Tops,L (12-14),2,20,10.35,10,20,1
ORD_20230703_6592,2023-07-03 16:06:00,u_495,"Augusta, GA",GA,309263,Girls Tops,M (8-10),1,21,11.37,0,21,0
ORD_20230703_4663,2023-07-03 09:02:00,u_547,"Columbus, GA",GA,318438,Girls Dresses,M (8-10),1,34,18.43,15,19,1
ORD_20230703_4663,2023-07-03 09:02:00,u_547,"Columbus, GA",GA,318033,Girls Tops,M (8-10),1,26,9.71,0,26,0
ORD_20230703_4663,2023-07-03 09:02:00,u_547,"Columbus, GA",GA,319305,Girls Tops,M (8-10),1,22,10.28,20,2,1
ORD_20230703_6195,2023-07-03 17:18:00,u_856,"Columbus, GA",GA,319655,Girls Dresses,M (8-10),1,36,13.97,0,36,0
ORD_20230703_5247,2023-07-03 11:39:00,u_210,"Columbus, GA",GA,319973,Girls Tops,M (8-10),3,26,13.1,0,78,0
ORD_20230703_3010,2023-07-03 18:37:00,u_736,"Macon, GA",GA,310693,Girls Dresses,S (6-7),1,33,17.33,0,33,0
ORD_20230703_3010,2023-07-03 18:37:00,u_736,"Macon, GA",GA,310678,Girls Bottoms,S (6-7),1,29,13.67,10,19,1
ORD_20230703_9549,2023-07-03 18:49:00,u_522,"Macon, GA",GA,310351,Girls Bottoms,XS (4-5),1,23,8.21,15,8,1
ORD_20230703_6110,2023-07-03 14:26:00,u_1455,"Macon, GA",GA,310042,Girls Tops,M (8-10),3,21,9.64,0,63,0
ORD_20230703_4490,2023-07-03 12:49:00,u_1260,"Augusta, GA",GA,308916,Girls Tops,XS (4-5),1,27,13.65,0,27,0
ORD_20230703_4490,2023-07-03 12:49:00,u_1260,"Augusta, GA",GA,308151,Girls Dresses,XS (4-5),1,32,11.91,0,32,0
ORD_20230703_4728,2023-07-03 11:48:00,u_539,"Savannah, GA",GA,314044,Girls Bottoms,XS (4-5),1,30,12.56,20,10,1
ORD_20230703_4728,2023-07-03 11:48:00,u_539,"Savannah, GA",GA,313328,Girls Bottoms,M (8-10),1,23,9.9,0,23,0
ORD_20230703_2278,2023-07-03 12:57:00,u_773,"Augusta, GA",GA,308051,Girls Tops,L (12-14),3,19,8.0,0,57,0
ORD_20230703_2307,2023-07-03 17:41:00,u_320,"Atlanta, GA",GA,302078,Girls Dresses,M (8-10),1,37,18.26,20,17,1
ORD_20230703_7516,2023-07-03 19:23:00,u_724,"Savannah, GA",GA,314250,Girls Tops,M (8-10),3,24,11.26,0,72,0
ORD_20230703_7516,2023-07-03 19:23:00,u_724,"Savannah, GA",GA,313092,Girls Bottoms,S (6-7),1,28,12.73,0,28,0
