event_datetime,user_id,session_id,page_url,traffic_source,traffic_medium,campaign,device_category,dma_name,state,zip_code
2023-07-01 18:33:00,u_3,s_3131,/,instagram,paid_social,BTS 2023,tablet,"Atlanta, GA",GA,300475
2023-07-01 17:52:00,u_10,s_5645,/moms/tops,facebook,paid_social,None,mobile,"Savannah, GA",GA,314382
2023-07-01 16:58:00,u_1322,s_3686,/moms/activewear,email,email,Always On,desktop,"Macon, GA",GA,310096
2023-07-01 21:16:00,u_326,s_2391,/girls/tops,instagram,paid_social,Black Friday 2023,desktop,"Augusta, GA",GA,309306
2023-07-01 19:05:00,u_170,s_4842,/girls/bottoms,email,email,None,tablet,"Augusta, GA",GA,309700
2023-07-01 20:27:00,u_716,s_5164,/moms/activewear,google,cpc,Black Friday 2023,tablet,"Augusta, GA",GA,308091
2023-07-01 21:42:00,u_1147,s_5151,/moms/tops,facebook,paid_social,BTS 2023,desktop,"Augusta, GA",GA,309330
2023-07-01 09:10:00,u_68,s_1630,/girls/new-arrivals,tiktok,paid_social,BTS 2023,desktop,"Augusta, GA",GA,308536
2023-07-01 09:00:00,u_1120,s_2418,/moms/new-arrivals,direct,none,BTS 2024,tablet,"Atlanta, GA",GA,302137
2023-07-01 17:57:00,u_1213,s_4634,/girls/bottoms,direct,none,Always On,tablet,"Savannah, GA",GA,313689
2023-07-01 12:53:00,u_1454,s_1447,/sale/black-friday,instagram,paid_social,Always On,mobile,"Atlanta, GA",GA,302819
2023-07-01 08:27:00,u_300,s_2381,/moms/tops,google,cpc,BTS 2023,tablet,"Atlanta, GA",GA,302325
2023-07-01 21:04:00,u_1467,s_4376,/about,direct,none,BTS 2023,desktop,"Macon, GA",GA,310183
2023-07-01 13:49:00,u_583,s_1296,/sale,google,cpc,Email Promo,desktop,"Savannah, GA",GA,313375
2023-07-01 12:15:00,u_783,s_2966,/girls/dresses,instagram,paid_social,Black Friday 2023,desktop,"Macon, GA",GA,310140
2023-07-01 09:28:00,u_638,s_859,/girls/tops,facebook,paid_social,BTS 2024,mobile,"Columbus, GA",GA,318097
2023-07-01 09:46:00,u_276,s_3711,/,email,email,Black Friday 2023,tablet,"Savannah, GA",GA,314911
2023-07-01 12:09:00,u_1201,s_740,/girls/bottoms,facebook,paid_social,BTS 2024,mobile,"Augusta, GA",GA,309930
2023-07-01 11:26:00,u_894,s_545,/,email,email,BTS 2024,mobile,"Atlanta, GA",GA,301407
2023-07-01 11:44:00,u_1144,s_4255,/,facebook,paid_social,Always On,mobile,"Atlanta, GA",GA,302080
2023-07-01 14:58:00,u_1212,s_5259,/sale,facebook,paid_social,Email Promo,tablet,"Atlanta, GA",GA,301159
