event_datetime,user_id,session_id,page_url,traffic_source,traffic_medium,campaign,device_category,dma_name,state,zip_code
2024-04-01 18:33:00,u_1226,s_1816,/story/karen-lesac,google,cpc,BTS 2023,tablet,"Augusta, GA",GA,309590
2024-04-01 09:20:00,u_1433,s_3094,/girls/tops,direct,none,BTS 2024,mobile,"Savannah, GA",GA,314704
2024-04-01 18:42:00,u_1500,s_390,/about,instagram,paid_social,BTS 2024,desktop,"Savannah, GA",GA,314896
2024-04-01 09:47:00,u_602,s_3849,/girls/new-arrivals,instagram,paid_social,Always On,tablet,"Macon, GA",GA,310118
2024-04-01 18:32:00,u_1319,s_5406,/story/karen-lesac,facebook,paid_social,Always On,mobile,"Macon, GA",GA,310701
2024-04-01 19:23:00,u_293,s_3818,/sale,tiktok,paid_social,BTS 2024,mobile,"Augusta, GA",GA,308048
2024-04-01 16:01:00,u_1450,s_5167,/sale/back-to-school,google,cpc,Always On,desktop,"Augusta, GA",GA,308056
2024-04-01 10:36:00,u_1309,s_650,/girls/new-arrivals,email,email,Black Friday 2023,mobile,"Augusta, GA",GA,308212
2024-04-01 08:15:00,u_624,s_3231,/girls/new-arrivals,direct,none,Always On,tablet,"Atlanta, GA",GA,301138
2024-04-01 14:13:00,u_629,s_4045,/,facebook,paid_social,Black Friday 2023,mobile,"Macon, GA",GA,310895
2024-04-01 18:00:00,u_835,s_2310,/moms/new-arrivals,facebook,paid_social,BTS 2023,desktop,"Atlanta, GA",GA,301349
2024-04-01 17:17:00,u_1428,s_312,/moms/activewear,google,cpc,BTS 2024,tablet,"Augusta, GA",GA,309356
2024-04-01 22:00:00,u_817,s_1848,/,facebook,paid_social,BTS 2023,tablet,"Macon, GA",GA,310774
2024-04-01 21:48:00,u_384,s_3308,/girls/tops,direct,none,BTS 2023,mobile,"Columbus, GA",GA,318939
2024-04-01 08:39:00,u_834,s_3202,/sale/back-to-school,tiktok,paid_social,Email Promo,mobile,"Savannah, GA",GA,313898
2024-04-01 17:07:00,u_1396,s_5855,/moms/tops,instagram,paid_social,BTS 2023,mobile,"Augusta, GA",GA,308416
2024-04-01 20:01:00,u_1460,s_4695,/girls/dresses,instagram,paid_social,Email Promo,mobile,"Savannah, GA",GA,314558
2024-04-01 10:55:00,u_877,s_1859,/about,google,cpc,Black Friday 2023,desktop,"Macon, GA",GA,310663
2024-04-01 10:42:00,u_749,s_1614,/girls/bottoms,email,email,Black Friday 2023,tablet,"Macon, GA",GA,310681
2024-04-01 17:07:00,u_1337,s_253,/girls/tops,google,cpc,Email Promo,mobile,"Augusta, GA",GA,309276
2024-04-01 12:55:00,u_543,s_2683,/sale/black-friday,direct,none,BTS 2024,tablet,"Macon, GA",GA,310053
2024-04-01 15:31:00,u_274,s_4610,/about,google,cpc,BTS 2023,mobile,"Macon, GA",GA,310026
2024-04-01 20:42:00,u_1366,s_3914,/sale/black-friday,tiktok,paid_social,Email Promo,desktop,"Augusta, GA",GA,309279
2024-04-01 21:46:00,u_1192,s_2187,/moms/tops,direct,none,Email Promo,desktop,"Columbus, GA",GA,318604
2024-04-01 12:58:00,u_310,s_5782,/girls/tops,email,email,Email Promo,desktop,"Atlanta, GA",GA,301247
2024-04-01 13:11:00,u_1423,s_2594,/girls/bottoms,instagram,paid_social,Always On,tablet,"Atlanta, GA",GA,302516
2024-04-01 14:21:00,u_316,s_1766,/about,google,cpc,BTS 2023,tablet,"Augusta, GA",GA,308748
2024-04-01 21:56:00,u_1472,s_1417,/,email,email,BTS 2024,tablet,"Augusta, GA",GA,309802
2024-04-01 17:07:00,u_1074,s_1920,/moms/activewear,google,cpc,Always On,tablet,"Savannah, GA",GA,314003
2024-04-01 09:34:00,u_1147,s_1271,/story/karen-lesac,facebook,paid_social,Email Promo,mobile,"Savannah, GA",GA,314549
2024-04-01 09:32:00,u_20,s_1784,/sale,email,email,BTS 2023,mobile,"Macon, GA",GA,310479
2024-04-01 21:49:00,u_387,s_4042,/girls/new-arrivals,instagram,paid_social,Black Friday 2023,tablet,"Augusta, GA",GA,308550
2024-04-01 18:07:00,u_362,s_2386,/,email,email,Email Promo,mobile,"Columbus, GA",GA,319760
2024-04-01 09:29:00,u_317,s_2746,/about,instagram,paid_social,None,mobile,"Columbus, GA",GA,319000
2024-04-01 11:40:00,u_399,s_4876,/girls/dresses,direct,none,BTS 2023,tablet,"Savannah, GA",GA,313812
2024-04-01 18:41:00,u_841,s_1903,/moms/new-arrivals,email,email,Black Friday 2023,mobile,"Columbus, GA",GA,319219
2024-04-01 10:28:00,u_1476,s_3207,/,direct,none,Always On,mobile,"Augusta, GA",GA,309481
2024-04-01 10:33:00,u_1071,s_3536,/moms/tops,google,cpc,None,tablet,"Augusta, GA",GA,308877
2024-04-01 11:06:00,u_899,s_5344,/moms/new-arrivals,facebook,paid_social,BTS 2023,mobile,"Atlanta, GA",GA,301058
2024-04-01 14:08:00,u_528,s_2737,/girls/tops,google,cpc,Black Friday 2023,desktop,"Savannah, GA",GA,314524
2024-04-01 10:08:00,u_1073,s_4886,/moms/activewear,google,cpc,Always On,tablet,"Macon, GA",GA,310192
2024-04-01 19:34:00,u_1435,s_5327,/story/karen-lesac,direct,none,BTS 2023,mobile,"Columbus, GA",GA,319326
2024-04-01 21:52:00,u_684,s_3797,/sale/black-friday,email,email,BTS 2024,mobile,"Macon, GA",GA,310593
2024-04-01 21:45:00,u_588,s_370,/girls/bottoms,email,email,Email Promo,desktop,"Savannah, GA",GA,313033
2024-04-01 19:33:00,u_1000,s_4960,/girls/new-arrivals,instagram,paid_social,BTS 2024,desktop,"Macon, GA",GA,310223
2024-04-01 11:29:00,u_501,s_1929,/girls/new-arrivals,google,cpc,None,mobile,"Augusta, GA",GA,308568
2024-04-01 15:22:00,u_1069,s_355,/girls/dresses,facebook,paid_social,BTS 2023,mobile,"Savannah, GA",GA,313128
2024-04-01 15:32:00,u_312,s_2151,/,google,cpc,Black Friday 2023,desktop,"Atlanta, GA",GA,300424
2024-04-01 19:42:00,u_951,s_2955,/girls/dresses,facebook,paid_social,BTS 2023,desktop,"Augusta, GA",GA,309313
2024-04-01 15:14:00,u_44,s_5199,/girls/bottoms,direct,none,BTS 2023,desktop,"Savannah, GA",GA,314758
2024-04-01 15:07:00,u_1482,s_5295,/sale/back-to-school,direct,none,BTS 2024,desktop,"Columbus, GA",GA,318094
2024-04-01 16:08:00,u_1206,s_5683,/girls/dresses,google,cpc,BTS 2024,mobile,"Macon, GA",GA,310071
2024-04-01 17:13:00,u_971,s_520,/moms/new-arrivals,google,cpc,Email Promo,desktop,"Columbus, GA",GA,318702
2024-04-01 09:41:00,u_1031,s_4471,/moms/activewear,direct,none,None,desktop,"Columbus, GA",GA,318322
2024-04-01 13:55:00,u_271,s_5119,/about,email,email,Email Promo,desktop,"Savannah, GA",GA,313427
2024-04-01 10:20:00,u_698,s_1243,/story/karen-lesac,instagram,paid_social,Email Promo,mobile,"Atlanta, GA",GA,300741
2024-04-01 21:39:00,u_463,s_3942,/sale,facebook,paid_social,Black Friday 2023,desktop,"Savannah, GA",GA,313435
2024-04-01 09:36:00,u_1036,s_1278,/moms/new-arrivals,tiktok,paid_social,Email Promo,tablet,"Columbus, GA",GA,318859
2024-04-01 19:25:00,u_1316,s_3892,/girls/bottoms,facebook,paid_social,Always On,tablet,"Atlanta, GA",GA,300031
2024-04-01 10:56:00,u_500,s_2852,/girls/new-arrivals,facebook,paid_social,Black Friday 2023,desktop,"Atlanta, GA",GA,300786
2024-04-01 09:03:00,u_1385,s_5999,/story/karen-lesac,direct,none,BTS 2023,desktop,"Savannah, GA",GA,314655
2024-04-01 20:27:00,u_216,s_4104,/moms/new-arrivals,facebook,paid_social,Black Friday 2023,tablet,"Augusta, GA",GA,308896
2024-04-01 21:11:00,u_32,s_4793,/about,direct,none,Black Friday 2023,desktop,"Columbus, GA",GA,319061
2024-04-01 19:41:00,u_886,s_3717,/girls/bottoms,tiktok,paid_social,Black Friday 2023,tablet,"Macon, GA",GA,310083
2024-04-01 18:17:00,u_1407,s_3204,/,facebook,paid_social,Always On,desktop,"Columbus, GA",GA,319879
2024-04-01 16:03:00,u_1076,s_3688,/story/karen-lesac,direct,none,BTS 2024,mobile,"Columbus, GA",GA,319899
2024-04-01 11:54:00,u_840,s_3069,/story/karen-lesac,direct,none,Always On,desktop,"Atlanta, GA",GA,300146
2024-04-01 21:37:00,u_49,s_1895,/girls/bottoms,instagram,paid_social,Black Friday 2023,desktop,"Savannah, GA",GA,314347
2024-04-01 13:08:00,u_305,s_2929,/girls/bottoms,google,cpc,Black Friday 2023,mobile,"Columbus, GA",GA,319388
2024-04-01 13:11:00,u_1388,s_5890,/sale/back-to-school,direct,none,Black Friday 2023,desktop,"Macon, GA",GA,310836
2024-04-01 14:18:00,u_1385,s_5412,/girls/tops,instagram,paid_social,BTS 2024,desktop,"Savannah, GA",GA,313764
2024-04-01 09:32:00,u_989,s_4198,/girls/bottoms,tiktok,paid_social,Email Promo,mobile,"Atlanta, GA",GA,301034
2024-04-01 19:27:00,u_767,s_3556,/girls/tops,facebook,paid_social,Email Promo,tablet,"Columbus, GA",GA,318985
2024-04-01 19:15:00,u_735,s_2290,/girls/dresses,email,email,BTS 2023,tablet,"Atlanta, GA",GA,300539
2024-04-01 15:46:00,u_556,s_4105,/girls/new-arrivals,facebook,paid_social,Always On,tablet,"Augusta, GA",GA,308411
2024-04-01 10:54:00,u_1360,s_2243,/sale,email,email,BTS 2024,desktop,"Augusta, GA",GA,308666
2024-04-01 13:12:00,u_318,s_1624,/sale/back-to-school,instagram,paid_social,Email Promo,tablet,"Savannah, GA",GA,314689
2024-04-01 09:07:00,u_89,s_1003,/moms/new-arrivals,tiktok,paid_social,Email Promo,desktop,"Macon, GA",GA,310833
2024-04-01 21:38:00,u_1333,s_3382,/moms/tops,email,email,BTS 2023,tablet,"Macon, GA",GA,310352
2024-04-01 17:11:00,u_1234,s_1710,/sale/black-friday,direct,none,Black Friday 2023,desktop,"Atlanta, GA",GA,302909
2024-04-02 20:36:00,u_100,s_1575,/moms/tops,tiktok,paid_social,BTS 2023,mobile,"Columbus, GA",GA,318283
2024-04-02 18:57:00,u_1266,s_3363,/moms/activewear,google,cpc,Black Friday 2023,desktop,"Macon, GA",GA,310065
2024-04-02 17:38:00,u_212,s_467,/sale,email,email,BTS 2024,tablet,"Columbus, GA",GA,318442
2024-04-02 08:45:00,u_142,s_5355,/story/karen-lesac,direct,none,BTS 2024,desktop,"Atlanta, GA",GA,302751
2024-04-02 20:02:00,u_446,s_1152,/girls/tops,email,email,None,tablet,"Macon, GA",GA,310363
2024-04-02 10:05:00,u_1218,s_2377,/girls/bottoms,facebook,paid_social,Black Friday 2023,mobile,"Augusta, GA",GA,308895
2024-04-02 15:47:00,u_99,s_4641,/moms/activewear,email,email,BTS 2023,mobile,"Columbus, GA",GA,319680
2024-04-02 12:41:00,u_999,s_1256,/girls/dresses,instagram,paid_social,None,desktop,"Macon, GA",GA,310947
2024-04-02 20:57:00,u_309,s_179,/sale/black-friday,tiktok,paid_social,BTS 2024,desktop,"Columbus, GA",GA,318717
2024-04-02 10:39:00,u_1179,s_1976,/moms/tops,instagram,paid_social,BTS 2023,mobile,"Savannah, GA",GA,313095
2024-04-02 16:08:00,u_1002,s_5481,/sale/back-to-school,email,email,Black Friday 2023,tablet,"Atlanta, GA",GA,302584
2024-04-02 20:50:00,u_1074,s_221,/girls/new-arrivals,direct,none,None,mobile,"Atlanta, GA",GA,302505
2024-04-02 08:44:00,u_687,s_1393,/moms/activewear,tiktok,paid_social,None,tablet,"Columbus, GA",GA,319711
2024-04-02 12:09:00,u_137,s_2194,/sale,google,cpc,BTS 2023,mobile,"Savannah, GA",GA,313648
2024-04-02 15:07:00,u_1041,s_4813,/girls/new-arrivals,instagram,paid_social,Email Promo,desktop,"Columbus, GA",GA,318138
2024-04-02 19:46:00,u_1426,s_291,/girls/new-arrivals,instagram,paid_social,None,desktop,"Macon, GA",GA,310614
