date,dma_name,state,product_category,size,promo_flag,orders,line_items,total_quantity,gross_revenue,total_discount,total_cost,avg_unit_price
2023-01-01,"Atlanta, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,27,0,11.93,27.0
2023-01-01,"Atlanta, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,7,20,11.5,27.0
2023-01-01,"Atlanta, GA",GA,Girls Dresses,L (12-14),1,1,1,2,36,30,25.2,33.0
2023-01-01,"Atlanta, GA",GA,Girls Dresses,M (8-10),0,1,1,2,78,0,35.7,39.0
2023-01-01,"Atlanta, GA",GA,Girls Dresses,S (6-7),1,1,1,1,20,15,15.37,35.0
2023-01-01,"Atlanta, GA",GA,Girls Tops,M (8-10),0,1,1,1,27,0,11.21,27.0
2023-01-01,"Atlanta, GA",GA,Girls Tops,M (8-10),1,1,1,1,3,20,12.21,23.0
2023-01-01,"Atlanta, GA",GA,Girls Tops,S (6-7),1,1,1,2,14,30,18.84,22.0
2023-01-01,"Atlanta, GA",GA,Girls Tops,XS (4-5),0,1,1,1,26,0,10.36,26.0
2023-01-01,"Augusta, GA",GA,Girls Bottoms,M (8-10),1,1,1,1,16,15,16.22,31.0
2023-01-01,"Augusta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,26,0,10.92,26.0
2023-01-01,"Augusta, GA",GA,Girls Dresses,L (12-14),0,1,1,1,34,0,18.65,34.0
2023-01-01,"Augusta, GA",GA,Girls Dresses,M (8-10),0,1,1,2,78,0,33.32,39.0
2023-01-01,"Augusta, GA",GA,Girls Dresses,XS (4-5),0,1,1,2,78,0,35.72,39.0
2023-01-01,"Augusta, GA",GA,Girls Tops,L (12-14),0,1,1,1,27,0,10.33,27.0
2023-01-01,"Augusta, GA",GA,Girls Tops,L (12-14),1,1,1,1,10,15,11.83,25.0
2023-01-01,"Augusta, GA",GA,Girls Tops,XS (4-5),0,1,1,1,23,0,8.82,23.0
2023-01-01,"Augusta, GA",GA,Girls Tops,XS (4-5),1,1,1,1,5,15,10.01,20.0
2023-01-01,"Macon, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,25,0,8.95,25.0
2023-01-01,"Macon, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,19,10,14.91,29.0
2023-01-01,"Savannah, GA",GA,Girls Bottoms,M (8-10),1,1,1,3,18,60,32.099999999999994,26.0
2023-01-01,"Savannah, GA",GA,Girls Dresses,L (12-14),0,1,1,3,96,0,33.81,32.0
2023-01-01,"Savannah, GA",GA,Girls Dresses,M (8-10),1,1,1,2,28,40,24.98,34.0
2023-01-01,"Savannah, GA",GA,Girls Tops,L (12-14),0,1,1,2,38,0,20.72,19.0
