date,airport_code,airport_name,state,format,audience_segment,spend,impressions,placements
2023-01-02,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-02,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-02,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-02,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-02,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-02,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-02,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-02,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-02,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-02,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-02,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-02,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-02,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-02,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-02,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-02,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-02,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-02,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-02,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-02,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-03,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-03,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-03,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-03,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-03,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-03,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-03,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-03,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-03,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-03,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-03,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-03,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-03,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-03,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-03,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-03,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-03,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-03,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-03,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-03,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-04,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
