date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2023-01-01,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,298.74,17612,686,6992,4949,3469,2735,2219,Conversions,13-17,Moms & Daughters
2023-01-01,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,449.89,20089,336,8687,7162,5712,3988,2485,Video Views,35-44,Moms & Daughters
2023-01-01,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,383.89,22984,744,7797,6118,4549,3374,2259,Video Views,35-44,Teen Daughters
2023-01-01,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,215.89,12649,298,5518,4079,3359,2142,1683,Traffic,35-44,Teen Daughters
2023-01-01,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,208.08,14052,279,5159,3484,2806,2294,1550,Video Views,18-24,Teen Daughters
2023-01-01,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,153.24,7804,178,4196,3284,2676,1827,1679,Video Views,35-44,Moms & Daughters
2023-01-01,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,151.34,7050,74,4177,2826,2404,1792,1685,Video Views,25-34,Teen Daughters
2023-01-01,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,539.58,36558,1229,15014,13441,9533,6390,5999,Conversions,18-24,Suburban Moms
2023-01-01,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,284.93,13488,405,7826,6793,5752,5090,3552,Video Views,35-44,Teen Daughters
2023-01-01,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,166.57,11247,121,5527,4744,3875,2576,1975,Traffic,25-34,Teen Daughters
2023-01-01,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,173.78,11439,195,4197,3006,1959,1731,1186,Traffic,25-34,Teen Daughters
2023-01-01,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,126.57,5502,218,1887,1212,1022,867,531,Video Views,13-17,Teen Daughters
2023-01-01,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,580.82,29407,803,11613,7121,5356,3534,3020,Video Views,35-44,Suburban Moms
2023-01-01,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,425.33,24381,599,9202,5699,4177,2630,2411,Video Views,18-24,Teen Daughters
2023-01-01,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,293.27,19352,379,8474,5173,4329,2759,2068,Video Views,25-34,Teen Daughters
2023-01-01,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,183.08,10484,209,5206,4364,3555,2531,2242,Traffic,35-44,Suburban Moms
