date,traffic_source,traffic_medium,campaign,device_category,dma_name,state,pageviews,sessions,users
2023-01-01,direct,none,BTS 2024,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,direct,none,Email Promo,tablet,"Atlanta, GA",GA,1,1,1
2023-01-01,direct,none,Always On,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,direct,none,BTS 2023,mobile,"Augusta, GA",GA,2,2,2
2023-01-01,direct,none,Always On,mobile,"Columbus, GA",GA,2,2,2
2023-01-01,direct,none,Always On,tablet,"Columbus, GA",GA,1,1,1
2023-01-01,direct,none,BTS 2023,tablet,"Columbus, GA",GA,1,1,1
2023-01-01,direct,none,Email Promo,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,direct,none,BTS 2023,mobile,"Macon, GA",GA,2,2,2
2023-01-01,direct,none,BTS 2024,tablet,"Macon, GA",GA,2,2,2
2023-01-01,direct,none,Email Promo,tablet,"Macon, GA",GA,1,1,1
2023-01-01,direct,none,,desktop,"Macon, GA",GA,1,1,1
2023-01-01,email,email,BTS 2024,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,email,email,BTS 2024,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,email,email,,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,email,email,,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,email,email,BTS 2023,tablet,"Augusta, GA",GA,1,1,1
2023-01-01,email,email,Black Friday 2023,desktop,"Augusta, GA",GA,2,2,2
2023-01-01,email,email,Black Friday 2023,mobile,"Augusta, GA",GA,1,1,1
2023-01-01,email,email,BTS 2024,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,email,email,Email Promo,mobile,"Columbus, GA",GA,1,1,1
2023-01-01,email,email,Always On,tablet,"Macon, GA",GA,1,1,1
2023-01-01,email,email,BTS 2023,mobile,"Savannah, GA",GA,1,1,1
2023-01-01,email,email,Black Friday 2023,tablet,"Savannah, GA",GA,1,1,1
2023-01-01,email,email,,desktop,"Savannah, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Always On,tablet,"Atlanta, GA",GA,1,1,1
2023-01-01,facebook,paid_social,BTS 2024,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,facebook,paid_social,,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,facebook,paid_social,BTS 2023,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Email Promo,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,facebook,paid_social,BTS 2023,desktop,"Macon, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Email Promo,desktop,"Macon, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Email Promo,tablet,"Macon, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Black Friday 2023,desktop,"Savannah, GA",GA,1,1,1
2023-01-01,facebook,paid_social,Black Friday 2023,mobile,"Savannah, GA",GA,1,1,1
2023-01-01,google,cpc,Always On,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,google,cpc,BTS 2024,tablet,"Atlanta, GA",GA,1,1,1
2023-01-01,google,cpc,,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,tablet,"Augusta, GA",GA,1,1,1
2023-01-01,google,cpc,,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,google,cpc,Always On,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,google,cpc,BTS 2023,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,mobile,"Columbus, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,tablet,"Columbus, GA",GA,1,1,1
2023-01-01,google,cpc,BTS 2023,mobile,"Macon, GA",GA,1,1,1
2023-01-01,google,cpc,BTS 2023,tablet,"Macon, GA",GA,1,1,1
2023-01-01,google,cpc,Black Friday 2023,tablet,"Macon, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,desktop,"Macon, GA",GA,1,1,1
2023-01-01,google,cpc,Email Promo,tablet,"Macon, GA",GA,1,1,1
2023-01-01,google,cpc,Always On,desktop,"Savannah, GA",GA,1,1,1
2023-01-01,google,cpc,Always On,tablet,"Savannah, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2024,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Email Promo,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Email Promo,mobile,"Atlanta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,,desktop,"Atlanta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Always On,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2023,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Email Promo,mobile,"Augusta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,,desktop,"Augusta, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2023,desktop,"Columbus, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2023,tablet,"Columbus, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Email Promo,mobile,"Columbus, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Always On,tablet,"Macon, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2023,desktop,"Macon, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2023,mobile,"Macon, GA",GA,3,3,3
2023-01-01,instagram,paid_social,BTS 2024,mobile,"Macon, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Black Friday 2023,desktop,"Macon, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Always On,desktop,"Savannah, GA",GA,3,3,3
2023-01-01,instagram,paid_social,BTS 2023,desktop,"Savannah, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2024,desktop,"Savannah, GA",GA,1,1,1
2023-01-01,instagram,paid_social,BTS 2024,tablet,"Savannah, GA",GA,1,1,1
2023-01-01,instagram,paid_social,Email Promo,mobile,"Savannah, GA",GA,1,1,1
2023-01-01,tiktok,paid_social,BTS 2023,mobile,"Atlanta, GA",GA,1,1,1
